DATE ,EXPIRY DATE ,OPTION TYPE ,STRIKE PRICE ,OPEN PRICE ,HIGH PRICE ,LOW PRICE ,CLOSE PRICE ,LAST PRICE ,SETTLE PRICE ,Volume ,VALUE ,PREMIUM VALUE ,OPEN INTEREST ,CHANGE IN OI 
13-May-2025,31-Jul-2025,CE,25050.0,617.85,617.85,617.85,617.85,617.85,747.45,75,1925088.75,46338.75,1200,75
12-May-2025,31-Jul-2025,CE,25050.0,798.9,798.90,798.9,798.9,798.9,935.25,75,1938667.5,59917.5,1125,75
09-May-2025,31-Jul-2025,CE,25050.0,390.15,390.15,390.15,390.15,390.15,489.25,300,7632045.0,117045.0,1050,75
08-May-2025,31-Jul-2025,CE,25050.0,485.2,485.25,485.2,485.25,485.25,603.35,150,3830283.75,72783.75,975,75
07-May-2025,31-Jul-2025,CE,25050.0,569.55,569.55,534.0,534.0,534.0,674.2,150,3840266.25,82766.25,900,75
06-May-2025,31-Jul-2025,CE,25050.0,576.7,576.7,576.7,576.7,576.7,666.8,0,0.0,0.0,825,0
05-May-2025,31-Jul-2025,CE,25050.0,572.4,576.70,572.4,576.7,576.7,713.6,825,21140737.5,474487.5,825,825
02-May-2025,31-Jul-2025,CE,25050.0,693.55,693.55,693.55,693.55,0.0,681.1,0,0.0,0.0,0,0
30-Apr-2025,31-Jul-2025,CE,25050.0,693.55,693.55,693.55,693.55,0.0,690.4,0,0.0,0.0,0,0
29-Apr-2025,31-Jul-2025,CE,25050.0,693.55,693.55,693.55,693.55,0.0,699.55,0,0.0,0.0,0,0
28-Apr-2025,31-Jul-2025,CE,25050.0,693.55,693.55,693.55,693.55,0.0,704.5,0,0.0,0.0,0,0
25-Apr-2025,31-Jul-2025,CE,25050.0,693.55,693.55,693.55,693.55,0.0,595.45,0,0.0,0.0,0,0
